PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,58,999,010,01,006,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899901001,22015899901001006,220158999010010061,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,01,007,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De red pública,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899901001,22015899901001007,220158999010010071,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,No tiene medidor,5,0,La entierran,2 cuartos,Si,1,9,1 dormitorio,#NULL !,22015899901002,22015899901002002,220158999010020021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal","Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015899901002,22015899901002003,220158999010020031,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015899901002,22015899901002004,220158999010020041,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899901002,22015899901002005,220158999010020051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,006,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899901002,22015899901002006,220158999010020061,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,007,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Regular,Malo,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,Por carro recolector,1 cuarto,Si,1,1,1 dormitorio,#NULL !,22015899901002,22015899901002007,220158999010020071,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,008,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,1,2 dormitorios,#NULL !,22015899901002,22015899901002008,220158999010020081,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,009,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,Por carro recolector,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899901002,22015899901002009,220158999010020091,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Asbesto (Eternit, Eurolit)",Madera,Tabla sin tratar,Bueno,Bueno,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,1,La arrojan en terreno baldío o quebrada,6 cuartos,Si,1,5,5 dormitorios,#NULL !,22015899901002,22015899901002010,220158999010020101,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,011,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,6,3 dormitorios,#NULL !,22015899901002,22015899901002011,220158999010020111,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,012,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,5,1 dormitorio,#NULL !,22015899901002,22015899901002012,220158999010020121,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,013,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,3 cuartos,Si,1,3,1 dormitorio,#NULL !,22015899901002,22015899901002013,220158999010020131,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,014,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,7,4 dormitorios,#NULL !,22015899901002,22015899901002014,220158999010020141,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,015,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,No tiene medidor,0,2,Por carro recolector,2 cuartos,Si,1,5,2 dormitorios,#NULL !,22015899901002,22015899901002015,220158999010020151,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,02,017,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015899901002,22015899901002017,220158999010020171,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,003,1,Area rural,Choza,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,"Palma, paja u hoja",Caña revestida o bahareque,Otros materiales,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,5,Sin dormitorio,#NULL !,22015899901004,22015899901004003,220158999010040031,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tierra,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,1,Sin dormitorio,#NULL !,22015899901004,22015899901004005,220158999010040051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,8,1 dormitorio,#NULL !,22015899901004,22015899901004006,220158999010040061,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,008,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,1,Sin dormitorio,#NULL !,22015899901004,22015899901004008,220158999010040081,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,009,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015899901004,22015899901004009,220158999010040091,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,De otra forma,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899901004,22015899901004010,220158999010040101,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,012,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,8,Sin dormitorio,#NULL !,22015899901004,22015899901004012,220158999010040121,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,015,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Asbesto (Eternit, Eurolit)",Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,De otra forma,1 cuarto,Si,1,1,Sin dormitorio,#NULL !,22015899901004,22015899901004015,220158999010040151,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,016,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,1 cuarto,Si,1,8,Sin dormitorio,#NULL !,22015899901004,22015899901004016,220158999010040161,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,04,017,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La entierran,1 cuarto,Si,1,4,Sin dormitorio,#NULL !,22015899901004,22015899901004017,220158999010040171,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,05,002,1,Area rural,Otra vivienda particular,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Otros materiales,Otros materiales,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,1,Sin dormitorio,#NULL !,22015899901005,22015899901005002,220158999010050021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,05,004,1,Area rural,Choza,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Caña revestida o bahareque,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,De otra forma,1 cuarto,Si,1,2,Sin dormitorio,#NULL !,22015899901005,22015899901005004,220158999010050041,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,05,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,De otra forma,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015899901005,22015899901005005,220158999010050051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,06,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015899901006,22015899901006002,220158999010060021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,06,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,1 cuarto,Si,1,5,Sin dormitorio,#NULL !,22015899901006,22015899901006003,220158999010060031,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,06,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,6,3 dormitorios,#NULL !,22015899901006,22015899901006005,220158999010060051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,07,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,8,4 dormitorios,#NULL !,22015899901007,22015899901007001,220158999010070011,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,07,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,3,1 dormitorio,#NULL !,22015899901007,22015899901007002,220158999010070021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,07,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,3,3 dormitorios,#NULL !,22015899901007,22015899901007004,220158999010070041,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,07,005,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Caña revestida o bahareque,Caña,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,2,Sin dormitorio,#NULL !,22015899901007,22015899901007005,220158999010070051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,08,002,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",2 cuartos,Si,1,8,1 dormitorio,#NULL !,22015899901008,22015899901008002,220158999010080021,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,08,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Caña revestida o bahareque,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1,4,Sin dormitorio,#NULL !,22015899901008,22015899901008003,220158999010080031,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,08,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1,5,Sin dormitorio,#NULL !,22015899901008,22015899901008004,220158999010080041,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,08,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1,8,Sin dormitorio,#NULL !,22015899901008,22015899901008005,220158999010080051,ORELLANA,ORELLANA,LA BELLEZA,220158999010
Orellana,01,58,999,010,08,007,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Caña revestida o bahareque,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,1 cuarto,Si,1,8,Sin dormitorio,#NULL !,22015899901008,22015899901008007,220158999010080071,ORELLANA,ORELLANA,LA BELLEZA,220158999010
